frame,x,y,w,h,confidence,name
1,1247,455,63,53,0.952450692653656,car
1,821,242,56,31,0.9363236427307129,car
1,137,290,93,39,0.866609513759613,car
1,601,292,77,45,0.8444324731826782,car
1,529,238,59,27,0.7551157474517822,car
1,1001,141,24,25,0.7138569355010986,car
1,1018,117,21,23,0.48841479420661926,car
1,291,69,55,24,0.46365341544151306,car
1,182,64,58,28,0.45411327481269836,car
1,1123,140,21,15,0.3834616243839264,car
1,1007,198,38,22,0.37286290526390076,car
1,1046,114,21,20,0.29430046677589417,car
1,982,155,16,19,0.2701524794101715,car
1,601,292,77,45,0.2548339068889618,car
2,1235,453,88,57,0.9509748220443726,car
2,508,244,63,27,0.9177757501602173,car
2,609,290,78,43,0.8987708687782288,car
2,105,296,94,39,0.8398562073707581,car
2,828,241,48,34,0.7404430508613586,car
2,181,64,59,29,0.4767663776874542,car
2,1000,142,27,27,0.4589387774467468,car
2,1019,120,22,24,0.4487840235233307,car
2,290,69,57,26,0.4170385003089905,car
2,1122,141,21,16,0.3065653443336487,car
2,980,155,18,20,0.2732120156288147,car
3,1222,450,116,63,0.9583722949028015,car
3,76,301,95,38,0.944801926612854,car
3,617,288,79,42,0.8833745718002319,car
3,487,246,64,27,0.8512983918190002,car
3,834,238,43,32,0.7257779836654663,car
3,1000,143,27,28,0.5034879446029663,car
3,1020,120,20,23,0.4219776690006256,car
3,181,64,59,29,0.4213533103466034,car
3,291,68,56,25,0.37475091218948364,car
3,978,155,19,19,0.35510075092315674,car
3,1122,139,24,19,0.3547222912311554,car
3,1044,114,21,20,0.3111889660358429,car
3,996,123,30,20,0.2802457809448242,car
3,978,116,20,16,0.26327937841415405,car
4,1207,447,134,64,0.9867534637451172,car
4,463,249,68,28,0.9618855714797974,car
4,44,306,89,40,0.8697710633277893,car
4,623,284,81,43,0.7998104095458984,car
4,844,236,45,30,0.7438587546348572,car
4,1000,143,27,27,0.6325621008872986,car
4,1020,120,19,22,0.6098839044570923,car
4,1021,193,33,20,0.5519766211509705,car
