frame,x,y,w,h,confidence,name
1,578,436,108,100,0.9856909513473511,car
1,558,326,67,47,0.9804725050926208,car
1,586,283,47,32,0.8198075294494629,car
1,689,309,63,55,0.8064738512039185,car
1,600,211,37,27,0.6447541117668152,car
1,1874,203,91,39,0.6319990754127502,car
1,656,189,32,25,0.6032953858375549,car
1,594,257,49,33,0.5994017720222473,car
1,661,235,43,29,0.5981942415237427,car
1,571,384,64,21,0.46467283368110657,car
1,603,177,27,18,0.4568482041358948,car
1,644,96,22,18,0.4456198513507843,car
1,650,130,26,16,0.3600494861602783,car
1,607,241,43,21,0.3103448748588562,car
1,1724,200,50,33,0.30589741468429565,car
1,603,203,37,25,0.27386507391929626,car
2,577,441,118,105,0.9952360391616821,car
2,555,329,67,52,0.9460806846618652,car
2,692,314,60,53,0.9407409429550171,car
2,586,281,46,36,0.8408597707748413,car
2,661,236,45,30,0.7463338375091553,car
2,600,215,41,31,0.7432728409767151,car
2,594,259,49,35,0.6903989911079407,car
2,654,192,31,24,0.6614083647727966,car
2,604,177,30,19,0.6129763722419739,car
2,1873,203,92,40,0.47330138087272644,car
2,646,112,26,24,0.3609077036380768,car
2,1894,214,51,49,0.3484688103199005,car
2,644,96,23,17,0.31105759739875793,car
2,1717,196,46,31,0.27223318815231323,car
2,619,111,25,21,0.26138198375701904,car
2,650,130,27,16,0.2521791458129883,car
3,575,453,116,105,0.9766244292259216,car
3,551,335,63,51,0.9419474601745605,car
3,691,318,62,56,0.8651838898658752,car
3,584,284,49,38,0.8207563161849976,car
3,599,218,38,28,0.7535956501960754,car
3,654,193,33,25,0.7464301586151123,car
3,661,236,44,33,0.7094446420669556,car
3,602,180,27,18,0.5111061334609985,car
3,647,131,26,15,0.46259063482284546,car
3,568,403,73,25,0.44750577211380005,car
3,593,259,47,32,0.4392354190349579,car
3,643,96,23,17,0.43296515941619873,car
3,1873,203,92,40,0.4243464171886444,car
3,1909,444,21,78,0.32091304659843445,car
3,642,110,27,25,0.28551390767097473,car
3,617,111,25,23,0.27675342559814453,car
3,1892,214,56,48,0.2714099884033203,car
4,572,465,123,117,0.9824671149253845,car
4,549,339,67,53,0.9673351645469666,car
4,690,323,63,59,0.9149741530418396,car
4,584,285,51,40,0.8352046012878418,car
4,599,219,39,26,0.7703598737716675,car
4,654,196,31,24,0.7567263245582581,car
4,662,238,44,33,0.6921029686927795,car
4,1893,429,54,99,0.6578088998794556,car
4,1877,211,83,47,0.6270458102226257,car
4,603,183,28,16,0.511730432510376,car
4,593,260,47,30,0.43622690439224243,car
4,645,130,27,15,0.3952733278274536,car
4,1707,196,52,32,0.2844032347202301,car
4,641,111,29,27,0.2555235028266907,car
5,569,480,129,113,0.9886493682861328,car
5,545,344,69,60,0.9675954580307007,car
5,692,325,67,66,0.8353132009506226,car
5,1875,430,90,122,0.8304160237312317,car
5,654,196,31,24,0.7876412868499756,car
5,598,219,43,29,0.7616955637931824,car
5,1878,211,82,47,0.7597804069519043,car
5,584,286,54,47,0.7370645999908447,car
5,666,243,44,33,0.7068145275115967,car
5,602,183,27,16,0.5257026553153992,car
5,570,420,82,28,0.51039719581604,car
5,593,260,48,32,0.37652862071990967,car
5,1703,194,56,33,0.3516317903995514,car
5,646,132,27,13,0.2901698052883148,car
5,617,115,27,23,0.2875274419784546,car
5,643,112,28,26,0.27838894724845886,car
6,542,349,70,59,0.9716857671737671,car
6,694,334,66,56,0.9067807197570801,car
6,566,490,133,129,0.8524683117866516,car
6,1858,419,123,110,0.8495683670043945,car
6,655,197,33,25,0.7890337109565735,car
6,1868,211,96,48,0.7741276025772095,car
6,665,243,51,39,0.7704874277114868,car
6,598,221,42,29,0.7618465423583984,car
6,583,285,58,53,0.7263864278793335,car
6,601,185,28,16,0.4239964783191681,car
6,592,258,45,29,0.3716202974319458,car
6,1654,150,44,23,0.3610648512840271,car
6,644,112,31,27,0.3599395453929901,car
6,617,114,27,25,0.27254578471183777,car
7,1847,411,145,104,0.9690633416175842,car
7,541,355,70,58,0.953482449054718,car
7,695,336,65,63,0.9224131107330322,car
7,580,298,51,36,0.8408331871032715,car
7,657,200,38,24,0.838262140750885,car
7,564,506,140,133,0.7730216979980469,car
7,599,223,41,27,0.7248300313949585,car
7,666,245,50,40,0.7219752073287964,car
7,1864,211,101,44,0.5533443093299866,car
7,565,507,140,131,0.46556994318962097,car
7,1693,194,46,32,0.4424344599246979,car
7,593,261,47,32,0.40100207924842834,car
7,1651,151,48,26,0.3359214663505554,car
7,643,113,28,23,0.3260767459869385,car
7,1613,169,34,24,0.3085523247718811,car
7,648,132,28,15,0.3048314154148102,car
7,603,187,33,17,0.2585183382034302,car
8,1830,402,170,101,0.9942615628242493,car
8,536,358,76,61,0.9791797995567322,car
8,558,522,146,144,0.9469691514968872,car
8,579,296,54,46,0.8795926570892334,car
8,696,342,67,63,0.878190279006958,car
8,656,200,34,23,0.7917512655258179,car
8,668,252,46,28,0.6870620846748352,car
8,601,224,40,27,0.6705089211463928,car
8,1873,204,94,39,0.5748564600944519,car
8,603,188,35,19,0.4936870038509369,car
8,1691,193,50,31,0.47875040769577026,car
8,1835,220,56,27,0.4095931649208069,car
8,645,114,28,24,0.35256439447402954,car
8,593,261,42,32,0.3417151868343353,car
8,1645,152,47,24,0.2966744601726532,car
9,1802,395,172,98,0.9906521439552307,car
9,534,364,77,62,0.9786434173583984,car
9,698,346,67,70,0.9237594604492188,car
9,553,536,155,157,0.8630117774009705,car
9,670,252,47,33,0.7839893102645874,car
9,580,298,53,45,0.7767044305801392,car
9,660,203,36,23,0.7434947490692139,car
9,602,225,44,29,0.7094898223876953,car
9,1688,191,48,30,0.624808669090271,car
9,605,189,35,21,0.555596113204956,car
9,1820,216,57,29,0.5066249370574951,car
9,1874,204,91,40,0.48036253452301025,car
9,645,112,28,23,0.3612278997898102,car
9,593,262,42,32,0.3397861421108246,car
9,1907,529,25,75,0.30356013774871826,car
9,551,535,155,151,0.2971351742744446,car
10,533,368,80,63,0.9838796854019165,car
10,1769,386,171,94,0.9694812893867493,car
10,672,255,44,36,0.8581304550170898,car
10,699,350,72,72,0.8232032060623169,car
10,578,305,55,39,0.7313805222511292,car
10,598,230,47,29,0.727247953414917,car
10,547,553,162,173,0.717932939529419,car
10,660,204,33,25,0.6492728590965271,car
10,1891,511,58,127,0.6139678359031677,car
10,585,281,57,46,0.5968980193138123,car
10,1885,202,70,39,0.53162682056427,car
10,606,189,34,20,0.5185068249702454,car
10,1817,215,63,31,0.50716632604599,car
10,547,553,162,173,0.503070592880249,car
10,1682,189,48,30,0.45443475246429443,car
10,648,111,26,22,0.3441268801689148,car
10,650,135,24,17,0.25719505548477173,car
