frame,x,y,w,h,confidence,name
1,873,89,34,24,0.9176112413406372,car
1,411,383,91,62,0.892326831817627,car
1,1050,47,38,24,0.8175785541534424,car
1,679,145,44,32,0.8047050833702087,car
1,954,75,37,26,0.8009561896324158,car
1,1166,103,31,27,0.7846580147743225,car
1,896,161,43,32,0.7648762464523315,car
1,251,280,98,75,0.7567252516746521,car
1,193,318,91,58,0.7426750063896179,car
1,1078,71,26,23,0.5477819442749023,car
1,193,318,91,58,0.5138485431671143,car
1,412,383,90,62,0.2584175169467926,car
2,866,90,38,25,0.8961307406425476,car
2,432,371,88,59,0.8651560544967651,car
2,1045,49,37,25,0.8355140686035156,car
2,169,326,91,61,0.8350122570991516,car
2,949,76,35,28,0.8344355225563049,car
2,669,147,43,34,0.8284417390823364,car
2,1170,102,30,26,0.7838870286941528,car
2,232,290,97,82,0.7458322644233704,car
2,903,156,39,31,0.5283684134483337,car
2,169,326,91,61,0.45702308416366577,car
2,1092,67,28,22,0.3730587661266327,car
2,431,371,91,59,0.3385792672634125,car
3,857,92,39,24,0.9058440327644348,car
3,450,359,85,58,0.8938226103782654,car
3,1038,51,37,25,0.8348134756088257,car
3,1097,65,34,24,0.824129581451416,car
3,1174,100,32,26,0.7650356888771057,car
3,942,77,38,29,0.708865225315094,car
3,180,307,154,121,0.6114490628242493,car
3,660,150,45,34,0.5671653747558594,car
3,144,336,94,59,0.5149264931678772,car
3,211,297,105,86,0.33683595061302185,car
3,661,150,46,34,0.29333922266960144,car
3,449,361,87,60,0.284680038690567,car
3,912,151,41,30,0.2691979706287384,car
3,942,77,38,30,0.26651978492736816,car
4,469,349,82,57,0.9323055744171143,car
4,850,94,38,25,0.861107349395752,car
4,916,149,32,32,0.8532282710075378,car
4,1104,62,32,23,0.8499549031257629,car
4,124,345,102,61,0.83571457862854,car
4,1031,53,39,26,0.7479078769683838,car
4,190,301,102,81,0.6871254444122314,car
4,650,154,46,36,0.6418861746788025,car
4,1177,98,29,25,0.6299177408218384,car
4,938,79,41,26,0.592461347579956,car
4,650,154,46,36,0.33824360370635986,car
4,124,345,102,61,0.26726576685905457,car
5,487,340,76,54,0.9441680312156677,car
5,843,95,38,25,0.7806496620178223,car
5,1027,53,40,26,0.7720173001289368,car
5,1111,62,30,24,0.7350696921348572,car
5,929,81,38,30,0.70902019739151,car
5,100,354,106,65,0.6924776434898376,car
5,640,156,49,34,0.6213374733924866,car
5,1179,95,27,26,0.5632315874099731,car
5,923,143,27,33,0.5234636664390564,car
5,164,312,107,89,0.45082488656044006,car
5,640,156,49,34,0.307405024766922,car
5,94,355,98,61,0.2537653148174286,car
6,504,329,79,54,0.9474184513092041,car
6,834,99,38,24,0.8272612690925598,car
6,920,84,37,30,0.77778559923172,car
6,1184,92,32,24,0.7073467373847961,car
6,1019,56,38,24,0.6755074262619019,car
6,1117,59,27,24,0.6532896757125854,car
6,72,364,105,65,0.6373293995857239,car
6,72,364,105,65,0.6232417821884155,car
6,630,160,46,34,0.600010097026825,car
6,141,322,113,91,0.5992544293403625,car
6,629,160,47,34,0.38483136892318726,car
6,931,141,26,32,0.2819346487522125,car
7,521,319,79,51,0.94542396068573,car
7,827,101,39,25,0.8881900310516357,car
7,618,163,50,37,0.8597668409347534,car
7,1125,57,34,23,0.8337103128433228,car
7,1187,88,33,28,0.8141765594482422,car
7,913,85,39,29,0.7779943943023682,car
7,1012,57,38,26,0.7764959931373596,car
7,90,343,180,130,0.7084309458732605,car
7,942,136,32,31,0.3734249472618103,car
7,1166,5,22,11,0.2683904469013214,car
8,818,103,39,27,0.9283203482627869,car
8,537,311,73,51,0.9201692342758179,car
8,904,88,37,29,0.8102732300758362,car
8,1193,86,38,29,0.793830156326294,car
8,1130,57,30,24,0.7281836271286011,car
8,1004,59,40,26,0.7275639176368713,car
8,79,341,145,94,0.6475728750228882,car
8,607,167,47,36,0.6435196995735168,car
8,37,384,74,69,0.5967245697975159,car
8,607,167,47,37,0.3673815429210663,car
8,1159,7,24,12,0.30942443013191223,car
8,37,384,74,69,0.27813515067100525,car
9,811,106,42,26,0.9111979603767395,car
9,554,302,72,50,0.8715710639953613,car
9,999,61,38,28,0.8198379278182983,car
9,1138,54,31,24,0.7244467735290527,car
9,1198,85,34,29,0.6927184462547302,car
9,597,171,46,37,0.6695900559425354,car
9,898,91,41,30,0.6505154967308044,car
9,63,350,126,96,0.5674498677253723,car
9,597,171,46,37,0.4741745889186859,car
9,899,91,41,31,0.33744028210639954,car
9,25,401,51,90,0.25609931349754333,car
9,554,302,76,54,0.2511999309062958,car
10,567,293,70,51,0.9462933540344238,car
10,803,108,41,26,0.9327245354652405,car
10,991,63,37,25,0.8705071210861206,car
10,891,92,39,29,0.7807748913764954,car
10,587,174,50,37,0.6729987263679504,car
10,1145,51,28,24,0.6540032029151917,car
10,50,371,101,122,0.5450133085250854,car
10,1199,81,33,24,0.5297421216964722,car
10,1149,8,26,17,0.47188276052474976,car
10,587,174,50,35,0.3217824697494507,car
11,582,286,67,46,0.9823521971702576,car
11,796,109,38,24,0.8677904605865479,car
11,1151,49,32,23,0.8535259366035461,car
11,883,94,41,33,0.7978255748748779,car
11,986,63,32,26,0.681259036064148,car
11,573,177,53,37,0.6625862717628479,car
11,1201,79,29,22,0.5136504769325256,car
11,1145,8,27,17,0.4938270151615143,car
11,36,371,73,117,0.4572935700416565,car
11,573,177,53,36,0.25513097643852234,car
12,595,278,65,46,0.9464520812034607,car
12,978,66,41,26,0.8490681052207947,car
12,563,182,50,37,0.8288185596466064,car
12,785,113,45,26,0.8062618970870972,car
12,1158,47,30,25,0.8025110960006714,car
