frame,x,y,w,h,confidence,name
1,486,138,70,34,0.9728106260299683,car
1,659,153,65,29,0.8632646203041077,car
1,289,169,44,34,0.8603154420852661,car
1,666,107,193,74,0.852728009223938,car
1,41,716,82,136,0.7570251226425171,car
1,215,195,86,48,0.7428737282752991,car
1,33,580,67,141,0.6179994344711304,car
1,181,221,46,39,0.6151772737503052,car
1,136,243,50,50,0.5968410968780518,car
1,432,53,31,21,0.4398118555545807,car
1,479,51,28,19,0.4380839467048645,car
1,403,67,19,20,0.35337674617767334,car
1,506,47,28,18,0.348513126373291,car
1,140,189,65,64,0.33581358194351196,car
1,115,230,86,60,0.31587278842926025,car
1,90,216,51,34,0.3030228316783905,car
1,140,189,65,65,0.288522332906723,car
1,376,68,33,20,0.26733458042144775,car
1,79,194,35,24,0.2596682012081146,car
1,46,201,28,23,0.2537861168384552,car
2,482,139,70,33,0.9686571955680847,car
2,660,153,64,29,0.8735374808311462,car
2,280,170,46,31,0.8181789517402649,car
2,666,107,194,74,0.8118761777877808,car
2,215,194,87,47,0.7450833916664124,car
2,40,716,81,136,0.7434672117233276,car
2,136,243,50,50,0.5922959446907043,car
2,33,580,67,141,0.5872178673744202,car
2,181,221,46,39,0.5835270881652832,car
2,432,53,31,21,0.43347418308258057,car
2,479,51,28,18,0.4310464859008789,car
2,141,189,64,65,0.3921927213668823,car
2,403,67,19,19,0.3535953462123871,car
2,506,47,28,17,0.34898465871810913,car
2,115,230,82,59,0.30281510949134827,car
2,90,216,51,34,0.29354122281074524,car
2,46,201,30,24,0.2790279686450958,car
2,376,68,32,20,0.2759602963924408,car
2,80,194,36,24,0.2654116749763489,car
3,477,140,72,34,0.9675430655479431,car
3,660,153,64,29,0.8707076907157898,car
3,664,108,199,76,0.8610498905181885,car
3,215,195,88,48,0.8032674789428711,car
3,41,716,82,136,0.7398074865341187,car
3,273,169,53,29,0.714458703994751,car
3,135,243,51,50,0.5964309573173523,car
3,33,580,67,140,0.5791671872138977,car
3,180,221,47,39,0.5643549561500549,car
3,432,53,31,21,0.445907324552536,car
3,479,51,28,19,0.43749046325683594,car
3,403,67,19,19,0.3574986755847931,car
3,506,47,28,18,0.35388508439064026,car
3,140,189,68,66,0.3449088931083679,car
3,115,230,83,58,0.31860166788101196,car
3,79,193,35,23,0.3032144606113434,car
3,43,201,39,26,0.2762375473976135,car
3,376,68,33,20,0.27621346712112427,car
3,91,215,52,33,0.2707805335521698,car
4,471,141,70,35,0.9675480127334595,car
4,659,153,65,29,0.8622347116470337,car
4,658,112,207,81,0.8026170134544373,car
4,215,195,88,48,0.7885674238204956,car
4,41,716,82,136,0.7428712248802185,car
4,265,169,46,26,0.721068263053894,car
4,33,580,67,140,0.5963563919067383,car
4,135,243,51,50,0.5953354239463806,car
4,181,221,48,39,0.541000485420227,car
4,432,53,31,21,0.43771839141845703,car
4,479,51,28,19,0.4265914261341095,car
4,505,47,29,18,0.3439163565635681,car
4,403,67,19,20,0.34313440322875977,car
4,115,230,85,60,0.33415237069129944,car
4,79,193,35,24,0.2979409694671631,car
4,139,189,68,64,0.2864062190055847,car
4,377,68,32,20,0.261242538690567,car
4,139,189,70,65,0.2554421126842499,car
4,42,201,43,26,0.25356325507164,car
5,466,142,70,36,0.9008150100708008,car
5,659,153,65,29,0.8658571243286133,car
5,256,168,44,25,0.7995874881744385,car
5,658,112,204,81,0.786005973815918,car
5,215,195,87,48,0.7745218873023987,car
5,41,716,82,136,0.7443137168884277,car
5,135,243,51,50,0.6240584850311279,car
5,33,580,67,141,0.5780898928642273,car
5,179,219,53,42,0.5749846696853638,car
5,433,53,32,21,0.4673040509223938,car
5,479,51,28,19,0.4548482596874237,car
5,30,204,58,27,0.3985496759414673,car
5,506,47,28,19,0.3714631199836731,car
5,403,67,19,20,0.3646990954875946,car
5,115,229,84,59,0.31644561886787415,car
5,90,216,51,34,0.2893494963645935,car
5,376,68,33,20,0.2831309139728546,car
5,80,193,34,24,0.2696824073791504,car
5,531,46,29,17,0.2633832097053528,car
5,161,121,31,20,0.2548689842224121,car
6,458,143,70,34,0.9578133821487427,car
6,659,153,65,29,0.8642007112503052,car
6,663,107,192,73,0.8154787421226501,car
6,40,716,81,136,0.7460530996322632,car
6,215,194,86,47,0.733091413974762,car
6,247,167,41,24,0.6401711106300354,car
6,136,243,50,50,0.6041917204856873,car
6,33,581,67,140,0.5828845500946045,car
6,180,221,47,39,0.5689850449562073,car
6,433,53,32,21,0.4604722857475281,car
6,30,205,56,28,0.45530593395233154,car
6,479,51,28,19,0.44314461946487427,car
6,580,130,58,33,0.41917338967323303,car
6,403,67,19,20,0.3705618977546692,car
6,506,47,28,18,0.3622330129146576,car
6,115,230,84,60,0.3219434916973114,car
6,376,68,33,20,0.2850475013256073,car
6,90,216,51,35,0.2839216887950897,car
6,531,46,29,17,0.26755040884017944,car
7,452,144,71,32,0.9490643739700317,car
7,659,153,65,29,0.8659950494766235,car
7,664,107,189,70,0.76833176612854,car
7,40,716,81,136,0.743736743927002,car
7,214,194,87,47,0.6995825171470642,car
7,136,243,50,50,0.6027135848999023,car
7,181,221,46,39,0.5930948853492737,car
7,33,581,67,140,0.5855472087860107,car
7,243,165,40,24,0.5709308981895447,car
7,30,205,55,29,0.5088775157928467,car
7,577,131,55,32,0.5034044981002808,car
7,479,51,28,18,0.4619641602039337,car
7,432,53,31,21,0.4618953764438629,car
7,403,67,19,19,0.3882170021533966,car
7,506,47,28,17,0.38711199164390564,car
7,115,230,86,60,0.3179710805416107,car
7,532,46,28,17,0.3073783218860626,car
7,376,68,33,20,0.29399704933166504,car
7,90,216,51,36,0.2649863362312317,car
8,447,145,73,32,0.9341593980789185,car
8,660,153,64,29,0.8492509126663208,car
8,575,130,57,33,0.8320052027702332,car
8,667,105,184,67,0.7744956612586975,car
8,40,716,81,137,0.7309041023254395,car
8,235,164,40,26,0.7039402723312378,car
8,214,195,81,43,0.6444358825683594,car
8,180,221,45,39,0.6403253078460693,car
8,136,243,50,50,0.6037161350250244,car
8,33,581,67,140,0.5877793431282043,car
8,29,205,53,28,0.49984121322631836,car
8,432,53,31,21,0.4648684859275818,car
8,479,51,28,18,0.4590589106082916,car
8,506,47,28,17,0.3875240683555603,car
8,403,67,19,19,0.3760279417037964,car
8,115,230,84,60,0.31811419129371643,car
8,90,216,51,36,0.3057526648044586,car
8,531,46,29,17,0.2998165190219879,car
8,376,68,34,20,0.29944002628326416,car
8,142,189,64,66,0.2512076199054718,car
9,660,153,64,29,0.8451935052871704,car
9,664,107,186,71,0.8119135499000549,car
9,574,130,54,33,0.8044998645782471,car
9,440,148,72,36,0.7875545620918274,car
9,215,196,82,43,0.7458961009979248,car
9,40,716,81,136,0.7315367460250854,car
9,227,163,40,24,0.7021143436431885,car
9,180,222,47,38,0.6243290901184082,car
9,136,243,50,50,0.6099615097045898,car
9,30,205,54,29,0.5939860343933105,car
9,33,580,67,139,0.5908270478248596,car
9,433,53,32,21,0.4890715777873993,car
9,479,51,28,18,0.47853437066078186,car
9,506,47,28,18,0.41037216782569885,car
9,403,67,19,20,0.37379077076911926,car
9,90,216,51,36,0.33355510234832764,car
9,114,230,85,61,0.32577967643737793,car
9,531,46,29,17,0.3249244689941406,car
9,142,189,63,67,0.31284093856811523,car
9,376,68,34,20,0.2953707277774811,car
9,162,120,32,19,0.2952410876750946,car
9,79,193,31,24,0.28932780027389526,car
10,433,146,69,37,0.884870707988739,car
10,660,153,64,29,0.8561598062515259,car
10,216,196,85,45,0.8517410159111023,car
10,662,107,186,70,0.7946227788925171,car
10,573,130,56,33,0.7856059074401855,car
10,40,716,81,137,0.7357707023620605,car
10,30,205,54,29,0.6441411375999451,car
10,180,222,47,38,0.6158589124679565,car
10,135,243,51,50,0.5985952615737915,car
10,33,580,67,139,0.5867027640342712,car
10,433,53,32,21,0.4842887818813324,car
10,479,51,28,18,0.47856712341308594,car
10,218,163,44,26,0.44867539405822754,car
10,141,189,63,65,0.41693878173828125,car
10,506,47,28,18,0.41045835614204407,car
10,403,67,19,19,0.3786459267139435,car
10,115,230,86,61,0.34500834345817566,car
10,531,46,29,17,0.3281470537185669,car
10,90,215,51,37,0.3138584792613983,car
10,82,193,32,26,0.31093570590019226,car
10,376,68,34,20,0.2985731363296509,car
10,162,120,33,19,0.2612910568714142,car
10,88,170,32,23,0.25569775700569153,car
11,425,148,69,35,0.940165102481842,car
11,216,196,86,45,0.9188584089279175,car
11,659,153,66,29,0.814271092414856,car
11,656,113,188,82,0.7474588751792908,car
11,570,131,62,34,0.713172197341919,car
11,180,222,47,38,0.6785362362861633,car
11,41,716,82,140,0.6598093509674072,car
11,135,243,49,50,0.6001906991004944,car
11,433,53,37,22,0.5566025972366333,car
11,33,579,67,131,0.4798176884651184,car
11,479,51,30,19,0.47005531191825867,car
11,142,190,63,64,0.4613942801952362,car
11,33,204,46,30,0.4605596661567688,car
11,82,171,28,24,0.4375363290309906,car
11,82,193,35,24,0.39103394746780396,car
11,116,230,82,59,0.3725450336933136,car
11,506,47,30,18,0.36405104398727417,car
11,405,66,21,22,0.35689735412597656,car
11,212,162,39,25,0.31367364525794983,car
11,533,46,30,17,0.2678160071372986,car
11,161,120,31,19,0.2525654435157776,car
12,215,196,85,43,0.9248209595680237,car
12,416,150,67,35,0.8630025386810303,car
12,659,153,67,30,0.8038813471794128,car
12,654,113,191,82,0.6899381875991821,car
12,180,222,47,38,0.6601898670196533,car
12,41,715,82,139,0.6495968699455261,car
12,569,131,62,34,0.6420871019363403,car
12,433,53,37,22,0.5790624022483826,car
12,135,243,49,50,0.566004753112793,car
12,32,205,47,31,0.5440705418586731,car
12,143,190,64,64,0.49699100852012634,car
12,33,579,67,130,0.48278579115867615,car
12,479,51,30,19,0.47716787457466125,car
12,116,230,85,61,0.46351927518844604,car
12,78,173,27,29,0.45058879256248474,car
12,506,47,30,18,0.3711160123348236,car
12,81,191,37,25,0.36008214950561523,car
12,405,66,21,22,0.35699179768562317,car
12,205,162,41,23,0.3462424576282501,car
12,533,46,30,17,0.27193111181259155,car
12,162,120,32,21,0.2642868161201477,car
13,409,151,69,34,0.9559857249259949,car
