track,frame,x,y,class,width,height
1,6,828,270,car,131,68
1,7,812,266,car,122,63
1,8,794,263,car,123,64
1,9,779,258,car,123,64
1,10,762,253,car,120,63
7,20,1511,277,car,201,72
7,21,1509,276,car,198,71
7,22,1508,276,car,199,71
7,23,1508,275,car,197,71
7,24,1508,275,car,196,71
7,25,1511,276,car,199,72
7,26,1514,276,car,199,72
7,27,1515,278,car,197,72
7,28,1510,276,car,195,71
7,29,1510,276,car,193,71
7,30,1506,275,car,193,71
7,31,1504,276,car,192,70
7,32,1508,276,car,192,70
7,33,1509,277,car,194,71
7,34,1508,276,car,192,71
7,35,1510,276,car,192,71
7,36,1508,276,car,192,71
7,37,1506,275,car,192,71
7,38,1506,275,car,192,70
7,39,1507,275,car,192,70
7,40,1508,275,car,192,70
7,41,1509,276,car,190,70
7,42,1512,276,car,192,70
7,43,1511,276,car,192,70
7,44,1509,276,car,191,70
7,45,1507,276,car,193,70
7,46,1511,276,car,191,69
7,47,1511,276,car,190,69
7,48,1513,277,car,192,69
7,49,1514,277,car,193,69
7,50,1515,278,car,195,71
7,51,1516,278,car,195,71
7,52,1514,277,car,193,71
7,53,1511,276,car,192,71
7,54,1511,276,car,189,69
7,55,1512,276,car,188,69
7,56,1513,277,car,189,69
7,57,1515,277,car,190,70
7,58,1515,277,car,190,70
7,59,1515,277,car,189,70
7,60,1514,277,car,188,71
7,61,1512,277,car,187,70
7,62,1510,277,car,186,70
7,63,1509,278,car,186,70
7,64,1511,277,car,187,70
7,65,1511,277,car,187,70
8,72,1638,397,car,184,108
8,73,1592,390,car,185,106
8,74,1553,381,car,183,102
8,75,1515,375,car,182,99
8,76,1479,366,car,188,101
8,77,1443,359,car,184,97
8,78,1410,353,car,178,93
8,79,1375,347,car,167,85
8,80,1338,341,car,170,86
8,81,1308,335,car,170,85
8,82,1279,328,car,172,85
8,83,1248,321,car,167,83
8,84,1222,316,car,166,82
8,85,1198,312,car,165,81
8,86,1171,307,car,159,78
7,87,1513,277,car,187,70
8,87,1146,302,car,157,77
7,88,1513,276,car,188,70
8,88,1124,297,car,150,73
7,89,1514,276,car,189,70
8,89,1098,292,car,151,73
7,90,1514,277,car,188,70
8,90,1077,288,car,149,73
7,91,1514,277,car,188,70
8,91,1053,285,car,139,67
7,92,1513,277,car,191,71
8,92,1033,280,car,139,68
7,93,1515,277,car,192,71
8,93,1010,275,car,142,69
7,94,1514,276,car,192,71
8,94,990,272,car,141,68
7,95,1515,277,car,190,70
8,95,974,269,car,132,63
7,96,1514,277,car,190,70
8,96,958,265,car,128,61
7,97,1514,276,car,193,70
8,97,939,261,car,128,62
7,98,1514,277,car,195,71
8,98,924,258,car,128,62
