track,frame,x,y,class,width,height
1,9,225,492,car,124,67
1,10,261,490,car,128,68
1,11,299,490,car,130,68
1,12,334,490,car,130,68
1,13,371,489,car,130,67
1,14,406,487,car,134,68
1,15,443,486,car,136,68
1,16,480,485,car,138,68
1,17,516,486,car,138,68
1,18,552,485,car,139,68
1,19,587,485,car,145,70
1,20,624,484,car,147,71
1,21,659,485,car,147,70
1,22,697,485,car,144,68
1,23,732,485,car,150,70
1,24,769,485,car,151,70
1,25,803,487,car,153,71
1,26,839,486,car,155,72
1,27,877,486,car,159,74
1,28,912,487,car,160,74
1,29,947,490,car,157,73
1,30,984,493,car,157,72
1,31,1018,495,car,156,72
1,32,1052,496,car,160,74
1,33,1090,497,car,163,75
1,34,1125,499,car,169,78
1,35,1158,501,car,168,77
1,36,1193,503,car,169,78
1,37,1217,506,car,171,81
1,38,1236,508,car,164,81
1,39,1253,509,car,153,80
1,40,1285,510,car,154,80
3,156,353,323,car,315,122
3,157,381,320,car,302,117
3,158,418,316,car,290,112
3,159,449,308,car,292,112
3,160,482,302,car,284,109
3,161,510,298,car,274,104
3,162,537,295,car,268,101
3,163,563,289,car,262,99
3,164,582,282,car,261,99
3,165,610,278,car,255,97
3,166,617,276,car,238,92
3,167,650,270,car,224,86
3,168,675,267,car,216,82
3,169,684,266,car,209,81
3,170,707,262,car,208,81
3,171,721,260,car,203,80
3,172,735,255,car,191,76
3,173,759,253,car,189,76
3,174,777,251,car,185,75
3,175,785,248,car,176,73
6,175,706,240,car,191,80
3,176,800,245,car,159,66
6,176,721,240,car,175,74
7,176,347,315,car,95,48
3,177,818,243,car,151,63
6,177,742,235,car,181,77
7,177,380,309,car,92,47
3,178,832,239,car,158,67
6,178,758,232,car,182,78
7,178,411,303,car,91,46
3,179,850,236,car,154,66
6,179,766,233,car,160,69
7,179,440,298,car,90,46
6,180,781,232,car,155,67
7,180,470,294,car,87,45
7,181,497,289,car,84,43
7,182,525,285,car,81,42
7,183,549,280,car,81,42
7,184,574,278,car,80,41
7,185,596,273,car,81,43
7,186,618,269,car,76,40
7,187,640,265,car,75,40
7,188,660,263,car,73,40
8,188,256,324,car,132,69
7,189,680,258,car,71,39
8,189,294,318,car,124,65
7,190,700,254,car,70,38
8,190,326,311,car,128,66
7,191,719,252,car,66,36
8,191,359,305,car,125,65
7,192,735,249,car,65,36
8,192,389,300,car,123,64
7,193,752,247,car,61,34
8,193,421,295,car,119,61
7,194,769,244,car,61,34
8,194,451,290,car,122,63
7,195,783,242,car,59,33
8,195,478,284,car,116,60
7,196,798,230,car,82,49
8,196,507,281,car,111,57
7,197,817,226,car,85,50
8,197,533,278,car,106,54
10,197,215,499,car,162,78
8,198,558,274,car,106,54
10,198,250,499,car,164,77
11,198,781,210,car,46,30
8,199,581,269,car,107,55
10,199,283,499,car,167,77
11,199,769,211,car,46,29
8,200,604,264,car,103,53
10,200,318,498,car,172,79
11,200,754,213,car,43,26
8,201,624,261,car,98,50
10,201,353,497,car,174,79
11,201,737,216,car,44,27
8,202,645,258,car,99,51
10,202,387,498,car,176,78
11,202,723,218,car,43,25
8,203,667,255,car,91,47
10,203,422,498,car,180,79
11,203,704,221,car,46,26
12,203,790,211,car,31,24
8,204,684,253,car,94,48
10,204,456,499,car,183,79
11,204,691,223,car,46,26
12,204,778,212,car,31,23
8,205,704,250,car,89,45
10,205,492,499,car,187,80
12,205,767,215,car,31,23
14,205,293,345,car,127,57
8,206,722,246,car,89,46
10,206,528,501,car,188,80
12,206,753,218,car,31,22
14,206,333,338,car,118,53
15,206,257,333,car,81,41
8,207,745,243,car,83,43
10,207,561,501,car,191,80
12,207,742,219,car,31,21
14,207,373,329,car,113,51
15,207,290,326,car,83,43
8,208,758,241,car,84,44
10,208,597,502,car,192,81
14,208,410,322,car,109,49
15,208,324,320,car,79,41
8,209,773,239,car,80,42
10,209,632,504,car,195,81
14,209,446,318,car,115,52
15,209,358,314,car,76,39
8,210,786,237,car,78,41
10,210,667,504,car,200,83
14,210,481,310,car,109,49
15,210,391,310,car,76,39
16,210,572,238,car,55,32
8,211,801,232,car,87,47
