track,frame,x,y,class,width,height
1,6,404,426,car,266,214
3,6,255,349,car,75,50
1,7,425,414,car,261,209
3,7,232,360,car,78,51
5,7,577,207,car,54,40
1,8,446,402,car,256,205
3,8,211,370,car,81,53
5,8,568,214,car,52,38
1,9,466,391,car,251,201
3,9,189,379,car,84,55
5,9,553,216,car,56,40
1,10,482,379,car,241,192
3,10,166,389,car,86,56
5,10,542,225,car,56,40
1,11,499,365,car,232,185
3,11,140,398,car,86,56
5,11,531,228,car,57,40
1,12,513,356,car,227,181
3,12,114,410,car,91,59
5,12,515,236,car,53,38
7,12,484,225,car,47,34
1,13,530,348,car,220,175
3,13,87,420,car,94,60
5,13,501,241,car,55,39
7,13,472,230,car,50,36
1,14,544,339,car,214,171
3,14,59,435,car,98,63
5,14,486,250,car,54,38
7,14,454,237,car,48,35
1,15,560,332,car,207,165
3,15,38,444,car,101,64
5,15,473,253,car,63,44
7,15,437,243,car,50,36
1,16,575,324,car,205,164
5,16,459,257,car,64,44
7,16,420,249,car,51,37
1,17,593,314,car,201,160
5,17,445,263,car,68,47
7,17,403,256,car,52,37
1,18,603,306,car,195,154
5,18,429,269,car,69,48
7,18,385,262,car,51,37
1,19,617,298,car,194,153
5,19,413,276,car,69,47
7,19,367,269,car,55,40
9,19,274,546,car,127,84
1,20,633,288,car,188,149
5,20,398,280,car,73,50
7,20,349,275,car,56,40
9,20,301,529,car,125,83
5,21,382,287,car,76,53
7,21,330,283,car,56,40
9,21,327,513,car,119,80
5,22,366,295,car,78,54
7,22,310,291,car,57,41
9,22,351,495,car,115,78
5,23,348,303,car,81,57
7,23,289,299,car,59,42
9,23,373,481,car,108,73
5,24,329,313,car,81,57
7,24,269,308,car,63,45
9,24,395,470,car,106,73
5,25,310,321,car,82,58
7,25,245,317,car,64,45
9,25,414,456,car,104,72
5,26,292,329,car,82,58
7,26,223,326,car,68,47
9,26,433,444,car,104,72
5,27,273,336,car,86,61
7,27,201,336,car,70,48
9,27,453,431,car,100,71
5,28,253,345,car,89,63
7,28,177,344,car,75,50
9,28,473,418,car,94,67
5,29,230,353,car,89,63
7,29,153,354,car,77,51
9,29,490,406,car,91,65
5,30,209,363,car,90,64
7,30,127,366,car,81,54
9,30,507,397,car,89,64
5,31,187,372,car,96,69
7,31,99,377,car,86,56
9,31,524,384,car,84,60
5,32,164,382,car,100,71
7,32,69,390,car,86,55
9,32,539,377,car,87,63
12,32,243,573,car,121,69
5,33,138,393,car,102,72
7,33,47,398,car,88,57
9,33,554,369,car,84,62
12,33,268,555,car,120,68
13,33,230,504,car,114,65
5,34,113,405,car,104,74
9,34,569,357,car,77,57
12,34,292,538,car,114,65
13,34,255,487,car,110,63
5,35,86,417,car,107,76
9,35,582,350,car,79,59
12,35,316,521,car,116,67
13,35,281,474,car,107,61
5,36,58,429,car,109,78
9,36,596,342,car,78,59
12,36,338,507,car,113,66
13,36,304,460,car,107,62
5,37,38,437,car,111,79
9,37,610,334,car,75,57
12,37,361,492,car,111,65
13,37,329,447,car,103,60
9,38,628,324,car,73,56
12,38,383,478,car,110,66
13,38,351,433,car,100,58
12,39,404,464,car,104,63
13,39,372,421,car,99,58
12,40,422,454,car,103,64
13,40,392,408,car,96,57
12,41,439,443,car,95,59
13,41,411,399,car,97,58
12,42,455,431,car,92,58
13,42,427,388,car,87,53
12,43,471,419,car,89,56
13,43,444,378,car,83,50
15,43,274,547,car,121,83
12,44,488,409,car,84,53
13,44,462,368,car,84,51
15,44,300,532,car,123,84
12,45,504,402,car,86,56
13,45,479,359,car,78,48
15,45,325,516,car,117,80
12,46,519,392,car,83,54
13,46,496,350,car,78,48
15,46,350,496,car,112,77
12,47,535,380,car,80,53
13,47,511,342,car,73,46
15,47,373,483,car,107,74
12,48,550,372,car,80,53
13,48,527,333,car,71,45
15,48,395,470,car,103,72
12,49,564,362,car,78,52
13,49,540,323,car,71,45
15,49,415,456,car,100,69
12,50,576,353,car,73,49
13,50,554,317,car,70,45
15,50,433,444,car,97,68
16,50,241,485,car,103,68
12,51,589,346,car,68,46
13,51,568,307,car,69,44
15,51,451,431,car,94,66
16,51,267,468,car,103,67
12,52,601,340,car,66,45
13,52,581,299,car,68,44
15,52,468,423,car,96,68
16,52,293,454,car,102,67
12,53,613,332,car,63,44
13,53,595,293,car,66,43
15,53,485,410,car,91,65
16,53,318,442,car,103,68
12,54,628,322,car,61,42
