track,frame,x,y,class,width,height,confidence
1,6,404,426,car,266,214,0.9749206801255544
2,6,663,250,car,58,37,0.9172435104846954
3,6,255,349,car,75,50,0.8765543003877004
5,6,581,197,car,54,38,0.6883916556835175
1,7,425,414,car,261,209,0.9756144370351519
2,7,677,243,car,57,37,0.9209854517664228
3,7,232,360,car,78,51,0.8787429247583661
5,7,561,201,car,47,34,0.6725330608231681
1,8,446,402,car,256,205,0.9762811288237572
2,8,691,237,car,56,36,0.9260964393615723
3,8,211,370,car,81,53,0.8897714912891388
5,8,545,204,car,42,30,0.6657543033361435
1,9,466,391,car,251,201,0.9769749641418457
2,9,704,231,car,54,35,0.9154690504074097
3,9,189,379,car,84,55,0.8998409377204047
5,9,530,210,car,46,33,0.6848550770017836
1,10,482,379,car,241,192,0.9785326421260834
2,10,716,225,car,52,34,0.919342178106308
3,10,166,389,car,86,56,0.9078690052032471
5,10,513,215,car,46,33,0.6871017038822174
1,11,499,365,car,232,185,0.9794510873881254
2,11,728,218,car,52,34,0.9172923727469011
3,11,140,398,car,86,56,0.9087520350109447
5,11,499,218,car,46,33,0.68040931224823
6,11,531,228,car,65,40,0.6816007693608602
1,12,513,356,car,227,181,0.9791329105695089
2,12,740,212,car,51,33,0.9192928721507391
3,12,114,410,car,91,59,0.9143184026082357
5,12,483,225,car,46,33,0.6967256466547648
6,12,515,236,car,60,38,0.7125586526734489
1,13,530,348,car,220,175,0.9795261575625493
2,13,752,207,car,48,31,0.9134038044856145
3,13,87,420,car,94,60,0.917404477412884
5,13,471,230,car,49,35,0.7099451193442712
6,13,501,241,car,62,39,0.730321042239666
1,14,544,339,car,214,171,0.9800235373633248
2,14,764,202,car,47,30,0.9129226207733154
3,14,59,435,car,98,63,0.9194599517754146
5,14,453,237,car,48,34,0.7263970375061035
6,14,485,250,car,60,38,0.7289839585622152
1,15,560,332,car,207,165,0.9805162787437439
2,15,776,196,car,46,30,0.9129226207733154
3,15,38,444,car,101,64,0.9194599517754146
5,15,436,243,car,50,36,0.7367593725522359
6,15,473,253,car,69,44,0.7357232689857482
1,16,575,324,car,205,164,0.9812013357877731
5,16,419,249,car,51,36,0.7500484995543957
6,16,459,257,car,70,44,0.7484115741469644
1,17,593,314,car,201,160,0.9810806337524863
5,17,402,256,car,52,37,0.7607078061384314
6,17,445,263,car,74,47,0.7448826233545939
1,18,603,306,car,195,154,0.9813205268647935
5,18,384,262,car,51,37,0.770384669303894
6,18,429,269,car,74,48,0.7391294516049899
9,18,246,566,car,138,86,0.901103009780248
1,19,617,298,car,194,153,0.9816273795930963
5,19,366,269,car,55,39,0.7788961498360885
6,19,414,276,car,73,47,0.7495979496410915
9,19,275,546,car,135,84,0.903390714100429
1,20,628,290,car,191,152,0.9821249514818191
5,20,349,275,car,56,40,0.7858767867088318
6,20,398,280,car,77,50,0.7534251769383749
9,20,301,529,car,132,83,0.909736156463623
1,21,639,283,car,182,144,0.9823215547062102
5,21,330,283,car,55,40,0.7933098475138346
6,21,382,287,car,80,53,0.7577491700649261
9,21,327,513,car,126,80,0.8805035021569994
1,22,652,277,car,179,142,0.9824921705506064
5,22,309,291,car,57,40,0.7986185279759493
6,22,366,295,car,82,54,0.7550344817778644
9,22,351,495,car,121,78,0.8664406836032867
1,23,663,271,car,174,138,0.9824778489444567
5,23,289,299,car,59,42,0.8058959997218588
6,23,348,303,car,86,57,0.7614940802256266
