track,frame,x,y,class,width,height
1,6,813,226,car,127,62
2,6,851,278,car,124,73
3,6,239,416,car,184,144
4,6,141,833,car,190,226
5,6,644,122,car,75,33
6,6,352,479,car,340,238
7,6,1038,179,car,50,34
8,6,678,131,car,83,35
9,6,739,148,car,86,34
11,6,869,118,car,54,27
1,7,825,223,car,122,60
2,7,863,274,car,121,71
3,7,268,406,car,175,135
4,7,158,825,car,210,241
5,7,644,122,car,75,33
6,7,382,466,car,334,232
7,7,1043,179,car,47,32
8,7,678,131,car,84,35
9,7,738,148,car,86,34
11,7,869,118,car,54,27
1,8,838,218,car,119,59
2,8,873,268,car,119,70
3,8,299,392,car,173,133
4,8,175,806,car,209,227
5,8,644,122,car,75,33
6,8,409,455,car,327,226
7,8,1047,179,car,45,30
8,8,678,131,car,84,36
9,8,739,148,car,86,34
11,8,869,118,car,54,27
1,9,848,216,car,114,57
2,9,886,265,car,118,70
3,9,331,380,car,169,128
4,9,196,794,car,229,236
5,9,644,122,car,75,33
6,9,441,440,car,322,221
7,9,1049,178,car,42,28
8,9,678,131,car,84,36
9,9,739,148,car,86,34
11,9,869,118,car,54,27
1,10,857,214,car,108,53
2,10,894,263,car,116,69
3,10,360,365,car,163,120
4,10,221,790,car,257,254
5,10,644,122,car,75,33
6,10,467,429,car,315,216
7,10,1052,177,car,43,29
8,10,678,131,car,84,36
9,10,739,148,car,86,34
11,10,869,118,car,54,27
1,11,866,211,car,109,54
2,11,905,260,car,108,65
3,11,389,357,car,163,119
4,11,253,781,car,267,253
5,11,644,122,car,75,33
6,11,494,416,car,306,208
7,11,1055,177,car,43,29
8,11,678,131,car,84,36
9,11,739,148,car,86,34
11,11,868,118,car,54,27
1,12,876,209,car,113,57
2,12,914,256,car,105,63
3,12,418,345,car,162,115
4,12,281,774,car,276,250
5,12,644,120,car,74,33
6,12,516,406,car,298,201
7,12,1059,176,car,42,29
8,12,678,131,car,84,36
9,12,739,148,car,86,34
11,12,869,118,car,54,27
1,13,887,207,car,105,54
2,13,924,252,car,101,61
3,13,446,334,car,151,105
4,13,311,762,car,281,244
5,13,643,120,car,74,33
6,13,544,394,car,290,195
8,13,678,131,car,84,36
9,13,738,148,car,86,34
11,13,869,118,car,54,27
1,14,896,206,car,101,52
2,14,933,249,car,100,61
3,14,474,323,car,152,103
4,14,342,755,car,291,241
5,14,643,120,car,74,32
6,14,570,383,car,285,190
8,14,678,131,car,84,36
9,14,738,148,car,86,34
11,14,869,118,car,54,27
1,15,905,202,car,100,52
2,15,940,246,car,98,60
3,15,501,315,car,147,97
4,15,374,746,car,295,233
5,15,644,119,car,74,32
6,15,594,373,car,279,185
8,15,678,131,car,84,36
9,15,738,148,car,86,34
11,15,868,118,car,54,27
1,16,915,202,car,98,51
2,16,947,243,car,90,55
3,16,526,307,car,147,95
4,16,405,732,car,305,232
5,16,644,119,car,74,32
6,16,617,362,car,266,175
8,16,678,131,car,84,36
9,16,738,148,car,86,34
11,16,868,118,car,54,27
1,17,922,199,car,93,49
2,17,956,240,car,88,54
3,17,549,297,car,142,89
4,17,438,721,car,318,232
5,17,644,121,car,75,33
6,17,641,354,car,260,170
8,17,678,131,car,84,36
9,17,738,148,car,85,34
11,17,868,118,car,54,27
18,17,636,356,car,269,165
1,18,930,197,car,88,47
2,18,963,238,car,85,52
3,18,573,289,car,145,90
4,18,468,715,car,326,230
5,18,644,121,car,76,33
6,18,661,345,car,251,164
8,18,678,131,car,84,36
9,18,738,148,car,85,34
11,18,868,118,car,54,27
18,18,660,346,car,258,159
1,19,937,195,car,86,46
2,19,970,235,car,82,51
3,19,595,282,car,145,88
4,19,502,710,car,331,226
5,19,644,120,car,77,34
6,19,682,337,car,243,158
8,19,678,131,car,84,36
9,19,738,148,car,85,34
11,19,868,118,car,53,27
18,19,681,338,car,252,155
1,20,943,195,car,84,45
2,20,977,234,car,86,53
3,20,616,275,car,142,85
4,20,534,707,car,345,230
5,20,644,121,car,77,34
6,20,702,327,car,232,150
8,20,678,131,car,84,36
9,20,738,148,car,85,34
11,20,868,118,car,53,27
18,20,701,329,car,237,147
1,21,951,194,car,81,44
2,21,983,231,car,83,52
3,21,637,268,car,140,82
4,21,563,703,car,354,232
5,21,643,121,car,76,34
6,21,720,322,car,229,149
8,21,678,131,car,84,36
9,21,739,148,car,85,34
11,21,869,118,car,53,27
18,21,719,322,car,230,142
1,22,957,192,car,83,45
2,22,988,229,car,79,50
3,22,655,263,car,133,77
4,22,596,695,car,343,218
5,22,643,121,car,76,34
6,22,737,314,car,223,145
8,22,678,131,car,82,35
9,22,739,148,car,85,34
11,22,869,118,car,54,27
18,22,734,315,car,223,138
1,23,965,192,car,82,45
2,23,994,227,car,76,49
3,23,674,258,car,135,78
4,23,627,688,car,343,212
5,23,643,120,car,77,34
6,23,759,305,car,215,139
8,23,678,131,car,83,35
9,23,739,148,car,86,34
11,23,869,118,car,54,27
18,23,752,307,car,217,134
1,24,969,189,car,76,42
2,24,1001,225,car,77,49
3,24,693,251,car,134,77
4,24,656,683,car,340,205
5,24,643,120,car,78,34
8,24,678,131,car,84,35
9,24,739,148,car,86,34
11,24,869,118,car,54,27
18,24,768,301,car,209,130
19,24,134,468,car,111,144
1,25,976,188,car,73,41
2,25,1006,222,car,75,48
3,25,710,246,car,127,72
4,25,684,681,car,351,208
5,25,644,121,car,77,34
6,25,785,296,car,216,140
8,25,678,131,car,84,35
9,25,739,148,car,86,34
11,25,869,118,car,54,27
18,25,783,292,car,201,125
19,25,165,451,car,115,142
