track,frame,x,y,class,width,height
1,6,562,213,car,81,43
1,7,548,210,car,81,43
1,8,536,207,car,81,43
1,9,524,203,car,80,42
1,10,512,200,car,79,42
1,11,499,197,car,75,40
1,12,489,195,car,77,41
1,13,478,191,car,75,41
1,14,467,189,car,73,40
1,15,457,187,car,68,37
1,16,447,184,car,65,35
1,17,436,181,car,63,34
2,228,176,267,car,56,46
2,229,180,268,car,60,50
2,230,182,269,car,61,52
2,231,184,271,car,62,53
2,232,187,273,car,61,52
2,233,191,276,car,63,54
2,234,195,280,car,65,57
2,235,198,280,car,66,58
3,235,275,206,car,52,35
2,236,203,281,car,67,59
3,236,277,207,car,53,35
2,237,206,281,car,70,63
3,237,280,206,car,53,35
2,238,210,282,car,71,64
3,238,284,207,car,51,33
2,239,215,285,car,74,67
3,239,288,206,car,53,34
2,240,221,289,car,73,67
3,240,291,205,car,54,34
2,241,225,290,car,74,69
3,241,296,206,car,60,38
2,242,231,295,car,69,63
3,242,302,207,car,64,40
2,243,235,297,car,70,64
3,243,308,207,car,65,41
2,244,241,298,car,75,68
3,244,315,206,car,69,43
2,245,247,300,car,74,68
3,245,321,206,car,68,42
2,246,253,303,car,77,71
3,246,328,205,car,67,41
2,247,261,307,car,82,76
3,247,335,205,car,69,42
4,247,226,232,car,53,39
2,248,268,313,car,84,77
3,248,343,205,car,68,41
4,248,230,233,car,57,42
2,249,276,316,car,83,76
3,249,352,205,car,69,41
4,249,234,234,car,62,45
2,250,284,321,car,83,76
3,250,362,204,car,69,41
4,250,237,236,car,62,46
2,251,291,325,car,84,76
3,251,372,203,car,68,39
4,251,242,230,car,78,58
2,252,301,329,car,87,78
3,252,381,204,car,71,41
4,252,246,232,car,76,58
2,253,311,336,car,91,81
3,253,392,203,car,71,39
4,253,251,231,car,79,60
2,254,322,342,car,92,81
3,254,404,203,car,76,41
4,254,258,237,car,64,47
2,255,333,349,car,100,88
3,255,413,203,car,77,42
4,255,264,235,car,69,51
2,256,345,355,car,106,93
3,256,426,201,car,80,43
4,256,270,238,car,63,45
2,257,356,362,car,108,95
3,257,438,200,car,78,41
4,257,278,240,car,63,43
5,257,178,268,car,57,57
2,258,370,369,car,114,99
3,258,453,200,car,82,43
4,258,286,240,car,64,43
5,258,182,271,car,60,60
2,259,384,380,car,119,103
3,259,466,198,car,85,44
4,259,294,241,car,66,43
5,259,186,273,car,61,61
2,260,398,391,car,129,112
3,260,480,198,car,91,47
4,260,302,240,car,70,44
5,260,191,276,car,63,64
7,260,289,205,car,60,43
2,261,414,399,car,135,117
3,261,494,198,car,94,49
4,261,312,240,car,69,42
5,261,195,279,car,63,64
7,261,296,204,car,66,47
2,262,432,411,car,137,119
3,262,508,199,car,93,48
4,262,321,240,car,75,45
5,262,200,279,car,65,66
7,262,300,204,car,69,48
2,263,450,422,car,143,123
3,263,524,199,car,92,48
4,263,331,240,car,79,46
5,263,204,281,car,66,67
7,263,308,205,car,72,50
2,264,470,435,car,150,129
3,264,538,197,car,89,46
4,264,344,240,car,79,44
5,264,209,284,car,67,67
7,264,318,204,car,73,49
2,265,491,452,car,156,134
3,265,554,197,car,88,45
4,265,355,240,car,82,45
5,265,215,287,car,69,69
7,265,326,204,car,76,50
2,266,514,468,car,165,141
3,266,570,195,car,92,47
4,266,367,240,car,83,44
5,266,219,291,car,70,70
7,266,335,203,car,74,48
2,267,538,485,car,174,148
3,267,584,193,car,91,47
4,267,379,239,car,85,44
5,267,224,291,car,71,71
7,267,344,203,car,74,46
2,268,564,505,car,183,156
3,268,600,193,car,92,47
4,268,392,238,car,88,45
5,268,231,296,car,73,72
7,268,354,204,car,77,47
2,269,593,526,car,195,166
3,269,617,190,car,91,47
4,269,407,238,car,87,43
5,269,238,299,car,73,72
7,269,365,203,car,79,46
2,270,623,548,car,200,169
3,270,632,187,car,86,44
4,270,420,238,car,92,45
5,270,245,303,car,76,75
7,270,379,201,car,82,46
2,271,656,571,car,209,176
3,271,646,186,car,81,41
4,271,435,238,car,92,44
5,271,251,306,car,78,76
7,271,389,201,car,85,46
2,272,690,594,car,221,187
3,272,661,185,car,79,40
4,272,452,236,car,99,46
5,272,259,310,car,82,80
7,272,401,200,car,83,43
2,273,726,620,car,222,188
3,273,675,183,car,79,39
4,273,469,236,car,105,49
5,273,267,318,car,84,81
7,273,413,200,car,91,47
2,274,764,647,car,229,194
3,274,690,183,car,77,38
4,274,485,236,car,112,52
5,274,274,322,car,84,81
7,274,426,200,car,91,45
2,275,804,675,car,240,204
3,275,704,183,car,76,37
4,275,503,234,car,109,50
5,275,283,326,car,87,84
7,275,440,200,car,94,45
2,276,835,702,car,237,204
4,276,521,232,car,108,49
5,276,293,329,car,89,84
7,276,455,200,car,100,47
2,277,860,721,car,212,185
4,277,540,231,car,121,55
5,277,302,335,car,89,83
7,277,469,200,car,103,47
2,278,885,739,car,216,188
4,278,559,229,car,118,54
5,278,313,340,car,91,84
7,278,483,199,car,100,45
4,279,579,227,car,111,51
5,279,324,346,car,94,86
7,279,495,199,car,100,45
4,280,596,225,car,112,51
5,280,336,352,car,100,91
8,280,512,197,car,121,47
